"","idnum","mothid1","cm1fint","m1a4","m1a11a","m1a11b","m1a11c","m1a11d","cm1age","cm1bsex","m1b2","m1b3","m1b11a","m1b22a","m1b11b","m1b22b","m1b11c","m1b22c","m1b11d","m1b22d","m1b13b","m1b25b","m1b13c","m1b25c","m1b16","m1b17","m1g2","m1g3","m1g4","fathid1","f1b5a","f1b11a","f1b22a","f1b5b","f1b11b","f1b22b","f1b5c","f1b11c","f1b22c","f1b5d","f1b11d","f1b22d","f1b13b","f1b13c","f1b16","f1b17","f1g3","f1g4","f1g2"
"2272","2272","22720",1,2,1,2,2,2,22,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,2,-6,1,2,5,5,4,"22721",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,4,4
"2273","2273","22730",1,2,1,1,2,2,37,2,2,1,1,-6,1,-6,1,-6,2,-6,3,-6,1,-6,1,1,5,5,4,"22731",-6,1,-6,-6,1,-6,-6,2,-6,-6,1,-6,3,1,2,1,5,4,4
"2274","2274","22740",0,2,1,2,1,2,20,1,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6,-5,2,2,5,5,4,"22741",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2275","2275","22750",1,2,1,1,2,2,31,1,2,1,2,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22751",-6,2,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,3
"2276","2276","22760",1,2,1,2,2,2,20,1,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,2,5,5,4,"22761",1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,1,1,5,3,3
"2277","2277","22770",1,2,1,1,2,2,36,2,2,1,2,-6,1,-6,2,-6,1,-6,3,-6,1,-6,1,1,5,5,3,"22771",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,2,1,1,1,5,3,3
"2278","2278","22780",1,2,1,1,2,2,28,2,2,1,2,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22781",-6,1,-6,-6,2,-6,-6,1,-6,-6,1,-6,2,1,1,1,5,4,4
"2279","2279","22790",1,2,1,2,2,2,21,1,2,1,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22791",-6,1,-6,-6,2,-6,-6,2,-6,-6,1,-6,3,2,1,1,5,4,1
"2280","2280","22800",1,2,1,2,2,2,17,1,2,1,2,-6,1,-6,1,-6,1,-6,3,-6,1,-6,1,1,5,5,4,"22801",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,3,4,4
"2281","2281","22810",1,1,-6,-6,-6,-6,31,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,-5,-6,-5,-6,-6,5,5,4,"22811",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,3
"2282","2282","22820",1,1,-6,-6,-6,-6,27,1,1,-6,-6,1,-6,1,-6,1,-6,1,-6,3,-6,1,-6,-6,5,5,4,"22821",-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,-6,-6,-6,5,4,4
"2283","2283","22830",0,2,1,2,1,2,18,2,2,2,2,-6,2,-6,2,-6,1,-6,3,-6,2,-6,1,2,5,5,4,"22831",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"2284","2284","22840",1,2,1,1,2,1,29,2,2,1,1,-6,2,-6,1,-6,1,-6,3,-6,1,-6,1,2,5,5,4,"22841",-6,1,-6,-6,1,-6,-6,1,-6,-6,1,-6,3,1,1,1,5,3,3
